case_name,c_Ns_per_m,zeta,regime,omega_d_rad_per_s,envelope_half_life_s,settling_time_2pct_s,first_reverse_peak_pct
low_damping,2000,0.158113883008419,underdamped,6.2449979983984,0.693147180559945,3.65854544931507,60.4679065694338
moderate_damping,6000,0.474341649025257,underdamped,5.56776436283002,0.231049060186648,1.30501095918749,18.4014615552116
two_percent_design,9862.55289638995,0.779703267412072,underdamped,3.96011522452031,0.140561412007973,0.569602825726569,2
near_critical,12000,0.948683298050514,underdamped,2,0.115524530093324,0.829473712576583,0.00806995175703049
critical,12649.1106406735,1,critical,NaN,NaN,0.922424018238607,NaN
overdamped,16000,1.26491106406735,overdamped,NaN,NaN,1.35019960586863,NaN
